customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00011,Male,0,No,No,3,Yes,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,29.68,2178.42,No
CUST-00012,Male,0,No,No,10,Yes,No,DSL,No internet service,No,No,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),70.11,7689.71,No
CUST-00013,Male,0,No,No,5,Yes,No,DSL,No,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Electronic check,50.75,1555.43,No
CUST-00014,Female,0,Yes,No,50,Yes,Yes,DSL,No internet service,No,Yes,No,No internet service,No,Month-to-month,Yes,Electronic check,63.43,5453.19,No
CUST-00015,Male,0,No,No,57,Yes,Yes,Fiber optic,No,Yes,No,Yes,No internet service,No internet service,Two year,No,Mailed check,83.27,5284.21,No
CUST-00016,Female,0,No,Yes,59,Yes,Yes,No,No internet service,No,No,No internet service,Yes,No,Month-to-month,Yes,Electronic check,76.95,1954.93,No
CUST-00017,Female,0,No,No,17,Yes,No phone service,No,No internet service,No internet service,No,No,Yes,No,Two year,No,Mailed check,90.78,6640.95,No
CUST-00018,Female,1,No,No,66,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.87,3788.01,Yes
CUST-00019,Male,0,Yes,Yes,16,Yes,Yes,No,No internet service,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),67.0,6859.65,No
CUST-00020,Female,1,No,No,33,Yes,Yes,No,No,No internet service,Yes,No,No internet service,No internet service,One year,Yes,Mailed check,88.54,123.82,Yes
CUST-00021,Male,0,No,Yes,29,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,No,Yes,Month-to-month,Yes,Mailed check,99.04,1296.38,Yes
CUST-00022,Female,0,Yes,No,18,No,Yes,Fiber optic,No,No,Yes,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,29.63,3241.01,No
CUST-00023,Female,1,No,Yes,8,Yes,Yes,No,Yes,No internet service,No,No,No,No internet service,Two year,Yes,Electronic check,50.34,4094.66,No
CUST-00024,Female,0,No,No,39,Yes,No,DSL,Yes,Yes,No internet service,No,No,No,Two year,No,Mailed check,77.68,4706.64,No
CUST-00025,Female,0,No,No,43,Yes,No,DSL,No,No internet service,No,No,No,Yes,Month-to-month,Yes,Electronic check,57.3,6786.87,Yes
CUST-00026,Female,0,No,Yes,58,Yes,No,No,No internet service,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),57.8,7767.63,Yes
CUST-00027,Female,0,No,No,24,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,34.5,2740.52,No
CUST-00028,Female,0,No,Yes,70,Yes,No,No,No,No internet service,No,No internet service,Yes,No internet service,Two year,Yes,Bank transfer (automatic),40.35,7629.53,No
CUST-00029,Female,0,No,No,52,Yes,No,No,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),46.65,2303.73,No
CUST-00030,Male,0,Yes,No,47,Yes,No,Fiber optic,No,No,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),91.18,632.2,No
CUST-00031,Male,0,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Mailed check,60.36,4994.26,No
CUST-00032,Female,0,No,No,52,Yes,Yes,Fiber optic,No,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),39.45,5734.77,No
CUST-00033,Female,0,Yes,Yes,48,Yes,No,DSL,No internet service,Yes,No internet service,No,Yes,No,One year,Yes,Credit card (automatic),24.4,2553.05,No
CUST-00034,Female,0,No,No,42,No,No phone service,DSL,No internet service,Yes,No internet service,No internet service,Yes,Yes,Two year,Yes,Electronic check,75.27,1473.31,No
CUST-00035,Male,0,Yes,No,18,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),38.96,849.88,Yes
CUST-00036,Female,1,No,No,65,Yes,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),78.17,3802.13,No
CUST-00037,Male,0,Yes,No,33,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),73.61,3527.5,No
CUST-00038,Male,1,No,No,53,Yes,No,DSL,Yes,Yes,No internet service,No internet service,No,No internet service,Month-to-month,No,Credit card (automatic),52.33,2463.91,Yes
CUST-00039,Male,0,Yes,No,0,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),41.9,1913.7,No
CUST-00040,Male,0,Yes,No,54,Yes,No,No,No,No,No,No internet service,No,Yes,One year,No,Mailed check,62.54,353.15,No
CUST-00041,Male,0,No,Yes,14,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),52.24,5930.89,No
CUST-00042,Female,0,No,No,14,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,52.03,3371.55,No
CUST-00043,Female,0,Yes,Yes,22,Yes,Yes,No,Yes,No,No internet service,No,No,No internet service,Two year,No,Credit card (automatic),114.09,1870.78,No
CUST-00044,Female,0,Yes,Yes,65,Yes,Yes,DSL,Yes,No internet service,Yes,Yes,No internet service,No,Two year,Yes,Bank transfer (automatic),78.23,4446.21,No
CUST-00045,Female,0,No,No,45,No,No,DSL,Yes,No,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,85.35,7576.52,Yes
CUST-00046,Female,1,Yes,No,8,Yes,No phone service,DSL,No,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),37.75,2012.95,Yes
CUST-00047,Male,0,No,No,65,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Mailed check,58.83,5281.19,Yes
CUST-00048,Female,0,Yes,No,65,Yes,No,DSL,No internet service,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),44.36,7895.3,No
CUST-00049,Female,0,Yes,No,17,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,112.45,3287.91,No
CUST-00050,Male,0,No,No,16,Yes,Yes,DSL,No internet service,No,No,Yes,Yes,No internet service,One year,No,Mailed check,64.79,8158.83,No
CUST-00051,Female,0,No,Yes,71,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),111.32,126.34,No
CUST-00052,Male,0,No,No,33,Yes,Yes,Fiber optic,No,No,Yes,No,No,No internet service,Month-to-month,No,Electronic check,69.24,1037.45,No
CUST-00053,Female,1,Yes,No,68,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No internet service,One year,No,Credit card (automatic),117.45,4592.48,No
CUST-00054,Male,0,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Credit card (automatic),88.36,4297.17,No
CUST-00055,Female,0,Yes,No,43,Yes,Yes,DSL,Yes,No internet service,No,No internet service,No internet service,Yes,Two year,Yes,Credit card (automatic),77.3,8449.89,Yes
CUST-00056,Female,0,No,No,28,Yes,Yes,No,Yes,No,No internet service,No internet service,No,Yes,Month-to-month,No,Electronic check,84.31,1245.06,Yes
CUST-00057,Male,0,Yes,No,61,Yes,No,Fiber optic,No,No,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),28.23,8520.49,No
CUST-00058,Male,0,Yes,No,15,Yes,No,DSL,No,No internet service,Yes,No internet service,No internet service,No,Two year,Yes,Credit card (automatic),81.81,7329.53,No
CUST-00059,Male,0,No,No,51,Yes,No,DSL,Yes,No internet service,Yes,No,No internet service,No internet service,Month-to-month,No,Mailed check,48.86,1929.83,No
CUST-00060,Male,0,Yes,No,1,Yes,No,No,No,No,No internet service,Yes,No internet service,No,Two year,No,Bank transfer (automatic),97.04,3172.03,No
CUST-00061,Male,0,Yes,Yes,60,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),59.01,1045.58,No
CUST-00062,Male,0,No,Yes,3,Yes,No,Fiber optic,No,No,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,106.95,7816.85,Yes
CUST-00063,Male,0,No,Yes,51,Yes,No phone service,DSL,No internet service,No,No,No,Yes,No internet service,Month-to-month,No,Mailed check,55.13,3327.39,No
CUST-00064,Male,0,No,No,40,Yes,Yes,Fiber optic,No,No internet service,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),46.95,350.71,No
CUST-00065,Female,0,No,No,51,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),69.52,,Yes
CUST-00066,Female,0,No,No,30,Yes,No,No,No,No,Yes,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),64.75,,Yes
CUST-00067,Male,1,No,Yes,25,Yes,Yes,Fiber optic,Yes,No,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),23.77,3316.56,No
CUST-00068,Female,1,No,No,26,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),96.38,4047.37,No
CUST-00069,Female,0,No,No,50,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,57.87,671.97,Yes
CUST-00070,Female,0,No,No,47,Yes,Yes,DSL,No,No,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),64.81,4216.55,No
CUST-00071,Female,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,No internet service,Yes,No,One year,Yes,Mailed check,90.5,2494.53,No
CUST-00072,Male,0,No,No,7,Yes,No,DSL,No internet service,Yes,No,No,Yes,No,One year,No,Mailed check,22.93,6130.27,No
CUST-00073,Female,1,No,Yes,11,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,43.67,2214.52,No
CUST-00074,Male,0,Yes,Yes,44,Yes,No phone service,Fiber optic,No internet service,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),40.47,8120.91,No
CUST-00075,Female,1,No,Yes,33,Yes,No,DSL,No,No,No,No internet service,Yes,No,Month-to-month,Yes,Electronic check,71.75,6389.45,No
CUST-00076,Female,1,Yes,No,71,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,Yes,Two year,Yes,Mailed check,105.24,1044.54,No
CUST-00077,Female,0,Yes,Yes,46,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Mailed check,66.69,1218.46,No
CUST-00078,Male,0,No,No,20,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),49.33,3101.55,No
CUST-00079,Female,0,Yes,No,40,Yes,No,No,No,No internet service,No internet service,No,No,Yes,Month-to-month,Yes,Mailed check,28.42,252.14,No
CUST-00080,Male,1,No,No,21,Yes,No,Fiber optic,No,Yes,No internet service,No,Yes,No,Two year,Yes,Electronic check,18.27,438.35,Yes
CUST-00081,Female,0,No,No,20,Yes,Yes,Fiber optic,No,No,No,No internet service,No,No,Month-to-month,Yes,Electronic check,46.84,6186.0,No
CUST-00082,Male,1,Yes,Yes,27,Yes,No,No,No,No,Yes,No internet service,Yes,Yes,One year,No,Electronic check,65.36,2826.89,Yes
CUST-00083,Female,0,Yes,No,66,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,54.39,1765.43,No
CUST-00084,Male,0,Yes,No,70,Yes,No,No,Yes,No,No internet service,No,No,Yes,Two year,Yes,Electronic check,64.84,3177.49,No
CUST-00085,Male,1,No,Yes,13,No,No phone service,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),62.85,8451.17,No
CUST-00086,Female,0,No,No,51,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,63.92,7762.65,Yes
CUST-00087,Male,0,Yes,No,42,Yes,No,Fiber optic,No internet service,Yes,No,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),86.43,2203.23,No
CUST-00088,Female,0,No,No,70,Yes,No,Fiber optic,No internet service,No,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,55.93,673.85,No
CUST-00089,Female,0,No,No,18,Yes,No,DSL,Yes,No,No,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),101.64,2834.65,Yes
CUST-00090,Female,0,Yes,No,26,Yes,No,No,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),99.7,94.66,No
CUST-00091,Female,0,Yes,No,17,Yes,Yes,Fiber optic,No,No,No,No,Yes,No internet service,Month-to-month,Yes,Electronic check,41.61,1921.04,No
CUST-00092,Female,1,Yes,Yes,12,No,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,29.51,5377.49,No
CUST-00093,Female,1,Yes,Yes,0,Yes,No,Fiber optic,No,No,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),110.3,788.36,No
CUST-00094,Female,0,Yes,Yes,33,Yes,Yes,Fiber optic,Yes,Yes,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),35.48,1494.71,Yes
CUST-00095,Female,0,Yes,No,12,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,No internet service,No,Two year,Yes,Electronic check,84.14,3720.77,No
CUST-00096,Female,0,Yes,No,50,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,106.32,6154.57,No
CUST-00097,Female,0,Yes,No,0,No,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,18.52,4544.23,Yes
CUST-00098,Female,1,Yes,No,27,Yes,No phone service,DSL,No,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),45.17,6310.25,No
CUST-00099,Male,0,Yes,No,31,No,No phone service,No,Yes,No,No internet service,Yes,No,Yes,Month-to-month,No,Credit card (automatic),47.41,812.16,No
CUST-00100,Male,0,No,No,71,Yes,No,No,Yes,No,No internet service,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),88.38,1402.4,Yes
CUST-00101,Female,0,No,No,54,Yes,No,DSL,No internet service,Yes,No internet service,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),83.83,7659.98,No
CUST-00102,Female,0,Yes,Yes,25,Yes,Yes,DSL,No,Yes,Yes,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),74.41,8253.93,No
CUST-00103,Female,0,No,No,13,Yes,No,DSL,No,Yes,No,Yes,No internet service,Yes,Two year,No,Credit card (automatic),111.11,7061.0,No
CUST-00104,Female,0,No,No,67,Yes,Yes,No,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),118.68,6198.34,No
CUST-00105,Female,0,No,Yes,62,Yes,No,DSL,No internet service,No,No,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),24.93,461.2,No
CUST-00106,Female,0,No,No,13,Yes,No phone service,DSL,No internet service,No internet service,No,No,No,No,Month-to-month,Yes,Electronic check,106.9,8587.87,No
CUST-00107,Female,0,No,No,26,No,No,DSL,Yes,Yes,No,Yes,No,No,One year,No,Mailed check,39.76,1827.33,Yes
CUST-00108,Female,0,No,Yes,40,Yes,No,Fiber optic,No internet service,Yes,No,No,No,No,Month-to-month,No,Electronic check,33.72,,No
CUST-00109,Male,0,Yes,Yes,2,Yes,No,No,No internet service,No internet service,Yes,No,No,No,Month-to-month,No,Credit card (automatic),97.66,5413.28,Yes
CUST-00110,Female,0,Yes,Yes,58,Yes,No phone service,Fiber optic,No,No,No,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),82.57,4674.07,Yes
CUST-00111,Male,0,No,No,22,Yes,Yes,DSL,No,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Electronic check,24.1,8521.84,No
CUST-00112,Female,0,No,No,17,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,39.96,5105.26,No
CUST-00113,Female,0,Yes,No,40,No,Yes,DSL,Yes,No,No internet service,Yes,Yes,Yes,Two year,No,Electronic check,90.62,,No
CUST-00114,Male,0,No,No,7,Yes,No,DSL,No,No,No internet service,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),19.09,4853.75,No
CUST-00115,Female,1,No,No,31,Yes,Yes,No,No internet service,No,No internet service,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),47.07,2810.17,No
CUST-00116,Male,1,No,No,40,Yes,Yes,No,No internet service,Yes,Yes,No internet service,Yes,No,Two year,No,Credit card (automatic),64.03,5729.31,No
CUST-00117,Female,0,No,No,44,Yes,No,No,No,No,Yes,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),111.09,355.34,No
CUST-00118,Female,1,No,No,8,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,Yes,No internet service,Month-to-month,No,Mailed check,104.74,2390.2,No
CUST-00119,Male,0,Yes,No,47,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,40.12,4723.89,No
CUST-00120,Female,0,Yes,No,23,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Mailed check,49.22,6684.43,No
CUST-00121,Male,0,No,No,43,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Two year,Yes,Mailed check,70.88,7170.57,No
CUST-00122,Female,0,Yes,No,57,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,62.49,7865.82,No
CUST-00123,Male,0,No,Yes,65,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),96.47,3264.45,Yes
CUST-00124,Male,0,No,Yes,17,Yes,No,No,Yes,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),115.03,5058.15,No
CUST-00125,Female,0,No,No,28,Yes,No,Fiber optic,Yes,No,No,No,Yes,No internet service,One year,No,Credit card (automatic),81.4,5046.03,No
CUST-00126,Female,0,No,Yes,1,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),29.44,7736.92,No
CUST-00127,Male,0,No,No,67,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,No,Yes,One year,Yes,Credit card (automatic),63.05,7280.25,No
CUST-00128,Female,1,No,No,38,Yes,Yes,No,No,No internet service,No,No,Yes,No internet service,Month-to-month,No,Electronic check,73.81,3661.25,No
CUST-00129,Female,0,No,Yes,40,Yes,Yes,No,No internet service,Yes,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,115.43,5124.43,Yes
CUST-00130,Female,0,No,Yes,70,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,53.2,7876.63,No
CUST-00131,Male,0,No,Yes,21,Yes,Yes,DSL,No,No,Yes,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),86.29,8598.49,No
CUST-00132,Male,0,Yes,Yes,48,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),19.15,6355.84,No
CUST-00133,Male,0,No,No,27,Yes,No,Fiber optic,No,No internet service,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),62.54,606.18,No
CUST-00134,Male,0,Yes,No,15,Yes,No,No,No,No,No internet service,Yes,No,No,Two year,No,Mailed check,22.13,7671.8,No
CUST-00135,Male,0,Yes,No,67,Yes,No phone service,DSL,No,No,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),42.18,4119.19,Yes
CUST-00136,Male,0,No,No,61,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No,No,Two year,Yes,Credit card (automatic),65.87,3027.16,No
CUST-00137,Male,0,Yes,No,35,Yes,Yes,DSL,No,Yes,No internet service,No,No,No,Month-to-month,No,Electronic check,77.3,2507.87,Yes
CUST-00138,Male,0,No,No,21,Yes,No,Fiber optic,No internet service,No,No,No,No internet service,No,One year,Yes,Electronic check,107.42,6915.3,Yes
CUST-00139,Male,0,No,No,10,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),36.85,7727.15,No
CUST-00140,Female,0,No,No,41,Yes,No,No,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),49.48,5903.09,No
CUST-00141,Male,0,No,Yes,54,No,No,DSL,No,Yes,No internet service,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),74.84,529.33,No
CUST-00142,Female,0,Yes,Yes,34,Yes,No,Fiber optic,No,No,Yes,No internet service,No,No internet service,Month-to-month,No,Electronic check,39.69,8486.98,No
CUST-00143,Female,1,Yes,Yes,56,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,No internet service,No,Month-to-month,Yes,Mailed check,110.57,4804.7,No
CUST-00144,Female,1,No,Yes,33,Yes,Yes,No,No internet service,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),107.14,7119.21,Yes
CUST-00145,Male,1,Yes,No,69,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),108.46,6206.9,No
CUST-00146,Male,0,Yes,Yes,3,Yes,Yes,DSL,No,Yes,No,No,No internet service,Yes,Two year,Yes,Bank transfer (automatic),91.47,2895.42,Yes
CUST-00147,Male,0,Yes,No,45,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),119.62,7895.17,Yes
CUST-00148,Male,0,No,No,10,Yes,No,Fiber optic,No,No internet service,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.27,2633.98,Yes
CUST-00149,Female,0,Yes,No,60,Yes,Yes,Fiber optic,No internet service,Yes,No,No,No internet service,No,One year,Yes,Mailed check,68.59,8426.23,No
CUST-00150,Male,0,Yes,No,34,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),93.35,8462.56,No
CUST-00151,Male,0,Yes,Yes,68,Yes,Yes,No,No,Yes,No,No,No,No internet service,Two year,No,Electronic check,27.78,388.6,Yes
CUST-00152,Male,1,No,No,56,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,111.64,1127.31,No
CUST-00153,Male,0,Yes,Yes,10,Yes,Yes,No,No internet service,No,No internet service,Yes,No,No,Month-to-month,Yes,Credit card (automatic),118.39,2029.72,Yes
CUST-00154,Male,1,Yes,No,11,Yes,Yes,DSL,No,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,105.41,3187.08,No
CUST-00155,Female,0,No,No,42,Yes,Yes,DSL,No internet service,No,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,21.63,5625.84,Yes
CUST-00156,Male,0,Yes,No,18,Yes,Yes,DSL,No internet service,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,34.85,3151.56,Yes
CUST-00157,Female,0,No,No,67,Yes,Yes,Fiber optic,No,No,No internet service,No,Yes,No,One year,Yes,Mailed check,28.76,8062.12,No
CUST-00158,Male,0,No,No,58,Yes,Yes,DSL,Yes,No internet service,No,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,61.42,4104.0,No
CUST-00159,Female,0,No,Yes,1,Yes,No,Fiber optic,No,Yes,No,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),21.89,4801.06,Yes
CUST-00160,Male,0,No,Yes,7,Yes,No,Fiber optic,Yes,No,No internet service,No,No internet service,Yes,One year,Yes,Credit card (automatic),114.22,5392.94,No
CUST-00161,Male,0,No,No,21,Yes,Yes,DSL,No internet service,No,No internet service,No internet service,Yes,No,Two year,Yes,Mailed check,77.68,3669.1,No
CUST-00162,Female,0,No,No,20,Yes,Yes,No,Yes,Yes,No,No internet service,No,No,Month-to-month,Yes,Mailed check,75.89,5464.33,No
CUST-00163,Female,1,Yes,No,28,Yes,No,No,No,No internet service,No,No internet service,No internet service,Yes,Two year,Yes,Mailed check,63.49,787.0,No
CUST-00164,Female,0,No,Yes,36,Yes,No,Fiber optic,Yes,No,No internet service,Yes,Yes,Yes,One year,Yes,Mailed check,52.46,4326.76,No
CUST-00165,Male,1,Yes,No,28,Yes,No phone service,No,Yes,Yes,Yes,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),67.4,,Yes
CUST-00166,Female,0,Yes,No,36,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,70.79,1751.97,Yes
CUST-00167,Male,0,No,No,20,No,Yes,DSL,No,Yes,No internet service,No internet service,No,Yes,Two year,No,Electronic check,88.97,341.93,No
CUST-00168,Male,0,Yes,No,11,Yes,No,DSL,Yes,No internet service,No,No,No internet service,No,Month-to-month,Yes,Mailed check,34.86,6719.7,No
CUST-00169,Female,0,Yes,No,47,Yes,No,No,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),76.67,1059.62,No
CUST-00170,Female,0,Yes,Yes,46,Yes,Yes,Fiber optic,No,No,Yes,No,No,No internet service,One year,Yes,Bank transfer (automatic),77.07,1485.26,Yes
CUST-00171,Male,0,No,No,14,Yes,No,DSL,No internet service,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Electronic check,55.43,1461.16,Yes
